Date,Open,High,Low,Close,Adj Close,Volume
2016-11-28,152.649994,153.350006,140.399994,141.199997,141.199997,327
2016-12-05,142.149994,143.600006,135.550003,135.550003,135.550003,35
2016-12-12,135.149994,140.250000,135.149994,138.199997,138.199997,47
2016-12-19,141.149994,145.250000,135.949997,136.149994,136.149994,59633
2016-12-26,136.000000,138.850006,132.850006,137.050003,137.050003,54284
2017-01-02,137.800003,145.449997,134.399994,142.850006,142.850006,70444
2017-01-09,142.149994,151.600006,140.750000,149.300003,149.300003,83774
2017-01-16,148.800003,153.350006,146.750000,153.199997,153.199997,59472
2017-01-23,153.000000,156.949997,150.250000,152.399994,152.399994,89898
2017-01-30,151.699997,152.500000,144.699997,146.250000,146.250000,118127
2017-02-06,146.000000,146.899994,141.699997,145.750000,145.750000,129217
2017-02-13,145.750000,148.699997,142.100006,147.800003,147.800003,59671
2017-02-20,149.199997,151.399994,143.649994,144.399994,144.399994,445
2017-02-27,144.000000,144.000000,138.600006,141.250000,141.250000,153
2017-03-06,139.600006,140.050003,138.899994,139.649994,139.649994,31
2017-03-13,137.449997,141.100006,137.399994,140.800003,140.800003,33
2017-03-20,144.000000,144.699997,137.100006,137.600006,137.600006,59801
2017-03-27,137.199997,140.300003,136.199997,139.300003,139.300003,69545
2017-04-03,138.800003,142.800003,136.250000,140.050003,140.050003,113397
2017-04-10,140.000000,142.000000,137.600006,138.899994,138.899994,119009
2017-04-17,139.100006,143.699997,128.800003,129.850006,129.850006,46911
2017-04-24,130.449997,131.300003,126.699997,131.050003,131.050003,473
2017-05-01,134.649994,135.000000,132.399994,133.100006,133.100006,44
2017-05-08,134.550003,134.550003,131.899994,132.600006,132.600006,14
2017-05-15,131.250000,133.399994,127.699997,132.100006,132.100006,44237
2017-05-22,132.100006,133.000000,127.150002,131.199997,131.199997,57374
2017-05-29,130.649994,133.399994,125.250000,125.550003,125.550003,82966
2017-06-05,126.050003,129.600006,125.349998,126.550003,126.550003,119681
2017-06-12,127.550003,129.100006,123.000000,123.550003,123.550003,126165
2017-06-19,123.800003,124.550003,113.000000,119.949997,119.949997,32266
