"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2016","120.40","115.80","124.00","114.95","109.77K","3.48%"
"01/24/2016","116.35","114.70","120.30","114.15","100.52K","0.30%"
"01/17/2016","116.00","114.30","117.50","111.05","79.65K","0.96%"
"01/10/2016","114.90","118.00","118.05","113.50","92.12K","-3.45%"
"01/03/2016","119.00","126.15","126.30","117.90","79.33K","-6.08%"
"12/27/2015","126.70","119.70","126.80","118.30","36.69K","5.85%"
"12/20/2015","119.70","118.25","121.40","116.80","32.19K","1.06%"
"12/13/2015","118.45","117.25","119.20","116.20","0.03K","0.30%"
"12/06/2015","118.10","123.55","124.60","122.55","0.05K","-4.76%"
"11/29/2015","124.00","120.60","123.50","115.75","0.07K","2.48%"
"11/22/2015","121.00","122.30","123.00","118.85","0.27K","-0.74%"
"11/15/2015","121.90","112.50","123.95","111.85","37.63K","8.69%"
"11/08/2015","112.15","118.05","119.70","111.60","128.85K","-4.76%"
"11/01/2015","117.75","121.00","122.35","116.90","96.51K","-2.65%"
"10/25/2015","120.95","118.00","121.95","116.30","73.30K","2.11%"
"10/18/2015","118.45","126.10","126.20","117.55","73.57K","-5.88%"
"10/11/2015","125.85","131.70","137.60","125.05","108.36K","-4.37%"
"10/04/2015","131.60","125.00","134.25","124.30","96.94K","5.87%"
"09/27/2015","124.30","122.70","125.25","117.95","76.26K","1.30%"
"09/20/2015","122.70","118.00","123.35","114.55","77.93K","8.25%"
"09/13/2015","113.35","114.90","115.55","114.90","0.05K","0.00%"
"09/06/2015","113.35","116.70","116.75","113.20","0.03K","-2.16%"
"08/30/2015","115.85","121.00","121.00","114.70","0.03K","-3.82%"
"08/23/2015","120.45","121.20","122.45","117.10","0.20K","-1.19%"
"08/16/2015","121.90","135.95","137.35","121.95","52.19K","-11.35%"
"08/09/2015","137.50","127.15","139.00","127.00","159.09K","7.59%"
"08/02/2015","127.80","125.10","128.85","121.75","107.92K","2.04%"
"07/26/2015","125.25","122.20","127.65","119.85","81.67K","2.45%"
"07/19/2015","122.25","126.50","128.00","120.65","53.03K","-3.74%"
"07/12/2015","127.00","125.85","130.30","125.85","0.02K","3.29%"
"07/05/2015","122.95","125.90","125.90","122.20","0.05K","-2.11%"
"06/28/2015","125.60","128.40","131.35","125.15","0.09K","-4.63%"
"06/21/2015","131.70","127.00","134.60","126.65","1.08K","3.58%"
"06/14/2015","127.15","131.05","131.60","124.80","64.59K","-3.71%"
"06/07/2015","132.05","135.00","138.85","130.60","116.95K","-2.26%"
"05/31/2015","135.10","128.20","137.00","128.15","101.55K","7.09%"
"05/24/2015","126.15","128.00","128.60","123.55","68.02K","-0.63%"
"05/17/2015","126.95","137.60","143.85","125.80","87.33K","-7.47%"
"05/10/2015","137.20","133.50","137.95","132.95","0.06K","3.24%"
"05/03/2015","132.90","132.50","134.10","127.85","0.07K","-0.41%"
"04/26/2015","133.45","140.00","143.30","131.40","0.29K","-5.46%"
"04/19/2015","141.15","138.40","145.00","134.25","10.83K","1.77%"
"04/12/2015","138.70","135.15","141.25","131.95","69.80K","2.66%"
"04/05/2015","135.10","140.90","147.35","133.60","112.83K","-4.12%"
"03/29/2015","140.90","138.80","141.45","131.80","68.95K","1.95%"
"03/22/2015","138.20","142.00","145.40","136.00","70.29K","-3.59%"
"03/15/2015","143.35","133.35","143.90","131.45","10.81K","13.36%"
"03/08/2015","126.45","136.50","136.55","130.25","0.02K","-7.36%"
"03/01/2015","136.50","138.55","138.55","129.05","0.05K","-0.18%"
"02/22/2015","136.75","147.95","149.75","136.45","0.33K","-8.01%"
"02/15/2015","148.65","164.00","165.75","147.00","35.19K","-8.92%"
"02/08/2015","163.20","166.50","169.25","158.80","123.29K","-2.19%"
"02/01/2015","166.85","162.40","169.75","158.40","90.75K","3.06%"
