"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2009","72.00","69.16","73.16","68.03","","3.84%"
"09/06/2009","69.34","67.88","72.91","67.55","","2.00%"
"08/30/2009","67.98","71.01","73.37","67.06","","-6.65%"
"08/23/2009","72.82","73.76","75.01","69.84","","-1.39%"
"08/16/2009","73.85","67.70","74.73","65.24","","9.52%"
"08/09/2009","67.43","70.68","72.22","67.12","","-4.48%"
"08/02/2009","70.59","69.31","72.85","69.10","","2.60%"
"07/26/2009","68.80","68.05","69.74","62.70","","1.18%"
"07/19/2009","68.00","63.39","68.21","63.20","","7.05%"
"07/12/2009","63.52","59.87","64.00","58.33","","6.22%"
"07/05/2009","59.80","66.50","67.18","58.73","","-9.98%"
"06/28/2009","66.43","69.26","73.39","66.27","","-4.07%"
"06/21/2009","69.25","69.90","71.30","66.25","","-0.53%"
"06/14/2009","69.62","72.21","72.78","68.91","","-3.43%"
"06/07/2009","72.09","68.32","73.24","66.78","","5.32%"
"05/31/2009","68.45","66.48","70.32","64.95","","3.21%"
"05/24/2009","66.32","61.51","66.65","59.54","","7.70%"
"05/17/2009","61.58","56.47","62.27","56.12","","8.95%"
"05/10/2009","56.52","58.50","60.09","56.08","","-3.52%"
"05/03/2009","58.58","52.62","58.75","52.56","","10.78%"
"04/26/2009","52.88","51.46","53.66","48.02","","2.50%"
"04/19/2009","51.59","50.16","51.76","43.84","","2.73%"
"04/12/2009","50.22","52.02","52.16","48.86","","-3.74%"
"04/05/2009","52.17","52.41","53.61","47.38","","-0.27%"
"03/29/2009","52.31","52.25","53.91","47.27","","-0.10%"
"03/22/2009","52.36","52.14","54.66","51.62","","2.57%"
"03/15/2009","51.05","45.69","52.73","44.10","","10.79%"
"03/08/2009","46.08","45.77","48.83","42.08","","1.21%"
"03/01/2009","45.53","44.34","46.30","39.44","","2.06%"
"02/22/2009","44.61","39.73","45.30","37.66","","20.18%"
"02/15/2009","37.12","41.64","43.68","37.96","","-2.06%"
"02/08/2009","37.90","39.89","42.44","33.56","","-5.96%"
"02/01/2009","40.30","41.76","42.69","38.61","","-3.26%"
"01/25/2009","41.66","46.06","48.60","40.19","","-9.47%"
"01/18/2009","46.02","36.15","47.01","32.71","","27.73%"
"01/11/2009","36.03","40.58","40.83","33.23","","-11.95%"
"01/04/2009","40.92","47.05","50.47","39.39","","-11.35%"
"12/28/2008","46.16","38.41","46.75","36.95","","22.80%"
"12/21/2008","37.59","42.80","43.45","35.14","","4.74%"
"12/14/2008","35.89","49.45","52.73","35.08","","-22.60%"
"12/07/2008","46.37","41.66","49.14","41.57","","11.73%"
"11/30/2008","41.50","54.62","54.62","40.50","","-24.71%"
"11/23/2008","55.12","50.99","56.00","48.82","","10.86%"
"11/16/2008","49.72","56.75","58.99","48.26","","-13.23%"
"11/09/2008","57.30","61.80","65.56","54.67","","-6.48%"
"11/02/2008","61.27","67.39","71.78","59.98","","-9.71%"
"10/26/2008","67.86","64.79","70.61","61.31","","5.19%"
"10/19/2008","64.51","72.17","76.13","62.66","","-10.79%"
"10/12/2008","72.31","80.14","84.84","68.58","","-7.58%"
"10/05/2008","78.24","92.51","93.03","77.10","","-16.55%"
"09/28/2008","93.76","106.90","106.92","91.31","","-12.23%"
"09/21/2008","106.82","104.97","130.00","103.22","","2.76%"
"09/14/2008","103.95","101.05","105.30","90.56","","3.00%"
"09/07/2008","100.92","107.77","109.91","100.01","","-5.27%"
"08/31/2008","106.53","116.67","118.61","105.14","","-7.85%"
"08/24/2008","115.61","114.70","120.51","112.37","","1.02%"
"08/17/2008","114.44","113.95","122.05","111.65","","0.84%"
"08/10/2008","113.49","115.23","117.49","111.37","","-1.36%"
"08/03/2008","115.05","125.99","126.36","114.63","","-7.99%"
"07/27/2008","125.04","123.42","128.61","120.43","","1.36%"
"07/20/2008","123.36","128.89","132.08","122.51","","-4.27%"
"07/13/2008","128.86","144.71","146.75","128.25","","-11.02%"
"07/06/2008","144.82","144.30","147.30","135.16","","-0.41%"
"06/29/2008","145.41","140.63","145.88","139.20","","3.33%"
"06/22/2008","140.73","134.81","143.00","131.96","","4.48%"
"06/15/2008","134.70","134.44","139.93","131.23","","-0.10%"
"06/08/2008","134.84","137.97","138.31","130.81","","-2.86%"
"06/01/2008","138.81","127.63","139.12","121.61","","8.92%"
"05/25/2008","127.44","131.69","133.66","124.69","","-3.40%"
"05/18/2008","131.92","126.36","135.10","125.29","","4.35%"
"05/11/2008","126.42","125.85","127.83","120.76","","0.36%"
"05/04/2008","125.97","116.50","126.28","116.06","","8.30%"
"04/27/2008","116.32","118.96","119.94","110.31","","-1.84%"
"04/20/2008","118.50","116.94","119.91","114.26","","1.42%"
"04/13/2008","116.84","110.01","117.01","109.57","","5.98%"
"04/06/2008","110.25","106.12","112.22","105.87","","3.98%"
"03/30/2008","106.03","105.12","106.78","99.56","","0.65%"
"03/23/2008","105.35","101.72","108.24","99.15","","3.59%"
"03/16/2008","101.70","110.10","111.80","98.66","","-7.64%"
"03/09/2008","110.11","105.27","111.02","104.09","","4.71%"
"03/02/2008","105.16","101.63","106.55","98.88","","3.48%"
"02/24/2008","101.62","98.99","103.05","97.75","","2.84%"
"02/17/2008","98.81","95.38","101.32","95.23","","3.43%"
"02/10/2008","95.53","91.77","96.68","90.93","","3.98%"
"02/03/2008","91.87","88.67","91.99","86.25","","3.00%"
"01/27/2008","89.19","90.62","92.71","88.46","","-1.58%"
"01/20/2008","90.62","90.59","91.38","86.12","","0.10%"
"01/13/2008","90.53","92.93","94.44","89.27","","-2.33%"
"01/06/2008","92.69","97.80","98.41","92.32","","-5.26%"
"12/30/2007","97.84","96.12","100.09","94.73","","1.85%"
"12/23/2007","96.06","93.59","97.93","92.51","","2.97%"
"12/16/2007","93.29","91.44","93.85","88.89","","2.26%"
"12/09/2007","91.23","88.28","94.86","87.11","","3.48%"
"12/02/2007","88.16","88.81","90.75","85.83","","-0.38%"
"11/25/2007","88.50","98.28","99.12","88.46","","-9.92%"
"11/18/2007","98.25","93.89","99.31","93.17","","3.79%"
"11/11/2007","94.66","96.16","96.34","90.28","","-1.78%"
"11/04/2007","96.38","95.95","98.64","93.73","","0.69%"
"10/28/2007","95.72","91.72","96.25","88.93","","4.36%"
"10/21/2007","91.72","88.87","92.22","84.69","","3.58%"
"10/14/2007","88.55","83.91","90.07","83.50","","5.78%"
"10/07/2007","83.71","81.12","84.06","78.36","","3.10%"
"09/30/2007","81.19","81.76","82.03","78.88","","-0.55%"
"09/23/2007","81.64","81.31","83.77","78.45","","0.32%"
"09/16/2007","81.38","79.03","83.91","78.25","","2.93%"
"09/09/2007","79.06","76.47","80.37","75.53","","3.09%"
"09/02/2007","76.69","73.91","77.44","73.49","","3.66%"
"08/26/2007","73.98","71.05","74.45","70.21","","4.05%"
"08/19/2007","71.10","71.78","71.78","68.63","","-0.86%"
"08/12/2007","71.72","71.48","74.24","70.11","","0.22%"
"08/05/2007","71.56","75.06","75.11","70.11","","-5.08%"
"07/29/2007","75.39","76.93","78.78","75.05","","-2.09%"
"07/22/2007","77.00","75.70","77.25","72.92","","1.95%"
"07/15/2007","75.53","74.53","76.64","74.02","","2.29%"
"07/08/2007","73.84","72.75","74.02","71.60","","1.47%"
"07/01/2007","72.77","70.52","72.94","69.57","","3.29%"
"06/24/2007","70.45","68.85","71.06","67.07","","1.88%"
"06/17/2007","69.15","68.14","69.89","67.30","","1.54%"
"06/10/2007","68.10","64.71","68.31","64.53","","5.29%"
"06/03/2007","64.68","64.88","67.43","64.54","","-0.60%"
"05/27/2007","65.07","65.00","65.27","62.45","","-0.23%"
"05/20/2007","65.22","64.96","66.38","63.83","","0.42%"
"05/13/2007","64.95","62.43","65.65","61.91","","4.10%"
"05/06/2007","62.39","61.72","62.58","60.69","","0.95%"
"04/29/2007","61.80","66.36","66.66","61.56","","-6.94%"
"04/22/2007","66.41","64.12","66.71","63.71","","4.62%"
"04/15/2007","63.48","63.43","64.66","61.37","","-0.20%"
"04/08/2007","63.61","64.30","64.58","61.36","","-0.72%"
"04/01/2007","64.07","66.04","66.70","63.57","","-2.76%"
"03/25/2007","65.89","62.35","68.10","62.25","","5.93%"
"03/18/2007","62.20","57.11","62.66","56.11","","9.10%"
"03/11/2007","57.01","59.97","59.97","56.18","","-5.16%"
"03/04/2007","60.11","61.30","62.30","59.55","","-2.23%"
"02/25/2007","61.48","60.90","62.51","59.94","","0.94%"
"02/18/2007","60.91","58.88","61.81","57.34","","2.65%"
"02/11/2007","59.34","59.69","59.77","56.62","","-0.90%"
"02/04/2007","59.88","59.26","60.80","57.26","","1.47%"
"01/28/2007","59.01","55.64","59.26","53.76","","6.36%"
"01/21/2007","55.48","52.10","55.91","50.80","","7.08%"
"01/14/2007","51.81","52.95","53.56","49.91","","-2.10%"
"01/07/2007","52.92","56.25","57.72","51.56","","-5.90%"
"12/31/2006","56.24","60.99","61.56","54.91","","-7.91%"
"12/24/2006","61.07","62.46","63.22","59.92","","-2.15%"
"12/17/2006","62.41","63.22","64.17","61.66","","-1.42%"
"12/10/2006","63.31","62.22","63.50","60.66","","1.78%"
"12/03/2006","62.20","63.81","63.83","61.53","","-2.11%"
"11/26/2006","63.54","59.90","63.78","59.27","","5.99%"
"11/19/2006","59.95","58.74","60.41","57.98","","7.21%"
"11/12/2006","55.92","59.62","59.94","54.88","","-6.14%"
"11/05/2006","59.58","59.16","61.33","58.50","","0.83%"
"10/29/2006","59.09","60.76","61.06","57.06","","-2.78%"
"10/22/2006","60.78","59.44","61.80","58.13","","5.91%"
"10/15/2006","57.39","60.51","62.19","58.20","","-2.22%"
"10/08/2006","58.69","59.91","61.31","57.23","","-1.74%"
"10/01/2006","59.73","62.82","63.34","57.77","","-5.16%"
"09/24/2006","62.98","60.27","64.02","59.54","","3.98%"
"09/17/2006","60.57","63.51","64.48","60.02","","-4.37%"
"09/10/2006","63.34","66.02","66.50","62.03","","-4.48%"
"09/03/2006","66.31","69.26","69.60","66.01","","-5.73%"
"08/27/2006","70.34","72.23","72.23","68.68","","-4.16%"
"08/20/2006","73.39","71.26","73.79","71.14","","3.97%"
"08/13/2006","70.59","73.84","74.00","69.64","","-5.07%"
"08/06/2006","74.36","74.80","77.47","73.77","","-1.30%"
"07/30/2006","75.34","73.51","76.51","72.78","","1.81%"
"07/23/2006","74.00","74.46","75.78","72.81","","-1.10%"
"07/16/2006","74.82","76.93","77.76","71.67","","-3.76%"
"07/09/2006","77.74","73.95","78.41","72.91","","2.93%"
"07/02/2006","75.53","73.98","75.81","73.41","","2.64%"
"06/25/2006","73.59","70.89","74.18","70.43","","4.34%"
"06/18/2006","70.53","69.90","71.33","68.58","","1.66%"
"06/11/2006","69.38","71.61","72.33","68.11","","-3.11%"
"06/04/2006","71.61","72.72","73.86","69.11","","0.62%"
"05/28/2006","71.17","71.33","72.77","70.07","","0.20%"
"05/21/2006","71.03","68.55","72.18","67.45","","3.63%"
"05/14/2006","68.54","72.24","72.38","68.19","","-5.92%"
"05/07/2006","72.85","70.07","73.93","68.28","","3.94%"
"04/30/2006","70.09","71.74","75.03","69.34","","-2.10%"
"04/23/2006","71.59","75.35","75.35","70.50","","-4.78%"
"04/16/2006","75.18","69.61","75.41","69.36","","8.27%"
"04/09/2006","69.44","67.41","69.61","67.23","","2.97%"
"04/02/2006","67.44","66.28","68.23","65.63","","1.49%"
"03/26/2006","66.45","64.90","67.80","63.95","","3.18%"
"03/19/2006","64.40","62.79","64.79","59.64","","1.42%"
"03/12/2006","63.50","60.05","63.89","59.58","","5.89%"
"03/05/2006","59.97","63.83","64.00","59.33","","-5.11%"
"02/26/2006","63.20","62.80","63.80","60.30","","0.64%"
"02/19/2006","62.80","61.75","63.75","60.20","","5.35%"
"02/12/2006","59.61","62.25","62.33","57.69","","-4.38%"
"02/05/2006","62.34","65.01","66.03","60.62","","-4.37%"
"01/29/2006","65.19","67.48","68.63","63.59","","-2.98%"
"01/22/2006","67.19","68.59","69.34","65.45","","-1.84%"
"01/15/2006","68.45","65.07","69.05","64.85","","7.86%"
"01/08/2006","63.46","64.16","65.06","62.61","","-0.28%"
"01/01/2006","63.64","60.83","64.23","60.59","","6.28%"
"12/25/2005","59.88","58.31","61.27","57.31","","3.49%"
"12/18/2005","57.86","58.04","59.33","56.94","","-1.48%"
"12/11/2005","58.73","59.64","62.03","58.13","","-3.55%"
"12/04/2005","60.89","59.38","61.47","59.00","","3.41%"
"11/27/2005","58.88","58.12","59.56","55.73","","0.70%"
"11/20/2005","58.47","57.45","59.17","57.12","","4.78%"
"11/13/2005","55.80","57.68","58.40","55.28","","-2.99%"
"11/06/2005","57.52","60.12","60.45","56.95","","-5.97%"
"10/30/2005","61.17","61.22","62.17","58.77","","-0.11%"
"10/23/2005","61.24","60.27","63.16","59.51","","3.17%"
"10/16/2005","59.36","62.97","64.42","59.16","","-4.17%"
"10/09/2005","61.94","61.83","64.73","60.39","","0.57%"
"10/02/2005","61.59","66.41","66.83","60.91","","-7.20%"
"09/25/2005","66.37","63.46","67.42","62.67","","0.44%"
"09/18/2005","66.08","63.41","68.28","63.22","","3.70%"
"09/11/2005","63.72","64.52","66.03","62.92","","-1.97%"
"09/04/2005","65.00","66.60","67.56","63.11","","-4.45%"
"08/28/2005","68.03","68.62","70.87","66.32","","0.65%"
"08/21/2005","67.59","65.59","68.19","64.84","","4.99%"
"08/14/2005","64.38","66.88","67.03","62.29","","-2.54%"
"08/07/2005","66.06","62.32","67.11","62.22","","6.70%"
"07/31/2005","61.91","60.54","62.53","60.54","","2.60%"
"07/24/2005","60.34","58.75","61.05","57.66","","4.12%"
"07/17/2005","57.95","57.73","58.71","55.84","","-0.31%"
"07/10/2005","58.13","59.62","61.52","57.48","","-5.56%"
"07/03/2005","61.55","58.91","62.12","57.22","","8.50%"
"06/26/2005","56.73","59.91","60.96","55.91","","-5.01%"
"06/19/2005","59.72","58.53","60.02","57.87","","3.47%"
"06/12/2005","57.72","53.60","58.77","53.22","","6.28%"
"06/05/2005","54.31","55.23","55.58","52.25","","0.11%"
"05/29/2005","54.25","51.69","55.11","50.61","","5.75%"
"05/22/2005","51.30","48.10","51.85","47.90","","9.34%"
"05/15/2005","46.92","48.89","49.57","46.42","","-3.36%"
"05/08/2005","48.55","51.31","53.13","47.78","","-5.60%"
"05/01/2005","51.43","49.29","52.24","48.81","","2.02%"
"04/24/2005","50.41","54.14","54.99","48.49","","-8.43%"
"04/17/2005","55.05","49.98","55.45","49.21","","8.58%"
"04/10/2005","50.70","53.27","54.05","49.75","","-5.41%"
"04/03/2005","53.60","57.17","58.30","52.72","","-5.18%"
"03/27/2005","56.53","53.61","56.88","51.67","","4.09%"
"03/20/2005","54.31","56.69","57.59","53.41","","-4.20%"
"03/13/2005","56.69","54.46","57.61","53.53","","5.53%"
"03/06/2005","53.72","54.34","56.43","53.28","","0.96%"
"02/27/2005","53.21","51.81","55.21","50.66","","4.33%"
"02/20/2005","51.00","48.41","52.08","48.41","","6.03%"
"02/13/2005","48.10","46.70","48.30","46.25","","0.42%"
"02/06/2005","47.90","46.32","47.48","44.60","","2.20%"
"01/30/2005","46.87","46.71","48.28","45.78","","-2.80%"
"01/23/2005","48.22","48.89","49.75","46.80","","0.94%"
"01/16/2005","47.77","48.61","49.51","46.41","","-1.32%"
"01/09/2005","48.41","45.70","48.74","45.05","","6.35%"
"01/02/2005","45.52","43.45","46.45","41.59","","6.45%"
"12/26/2004","42.76","43.88","43.88","41.01","","-2.62%"
"12/19/2004","43.91","46.20","46.20","43.66","","-3.60%"
"12/12/2004","45.55","41.75","47.20","41.10","","5.64%"
